method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed
Full REB-S,-163.9200118168444,106.61605267377544,3.0997309736465053,100.0,0,1.919290869125,0.3070865390599999,90.11879575493504,290.8357466865,0.13419580459594727,0.14018774032592773,1
Full REB-S,-144.66897109999775,101.22276366055995,8.92751393356645,100.0,0,1.9350295177266286,0.3079243655389705,86.00283571332011,284.323328075,0.10382342338562012,0.12427282333374023,2
Full REB-S,-149.61643814554603,99.75393166035319,9.40796114313931,100.0,0,1.9972054018685712,0.3195346110588,83.81265829504186,276.666306328,0.11546826362609863,0.14235496520996094,3
Full REB-S,-107.9400004016632,93.52538308464563,-4.121546423365278,100.0,0,1.9621981255200371,0.3125817037226715,88.81748947914365,286.2209534,0.11219799518585205,0.12668943405151367,4
Full REB-S,-132.34900935916082,95.50935029143379,4.058441248572936,100.0,0,1.9892721097816124,0.31828353756505806,90.38604780819952,290.68145450000003,0.12654495239257812,0.15073418617248535,5
Full REB-S,-102.34615494802166,93.76742582096594,3.978065001502183,100.0,0,1.91048108847838,0.3080566413739173,85.94020052483135,288.4468375,0.12845897674560547,0.1559906005859375,6
Full REB-S,-170.06922605748866,111.65469200676613,6.139880206640273,100.0,0,1.94730844225,0.3115693507599998,98.50500757863077,323.19660514000003,0.1148601770401001,0.13442254066467285,7
Full REB-S,-124.47553610955899,96.46695056845007,-5.8779003325745345,80.0,2,1.9009149391340747,0.3079722052321781,89.73031761951245,298.7705769672,0.1265343427658081,0.1520850658416748,8
Full REB-S,-106.74638941022039,97.09852938139883,7.424341836670305,100.0,0,1.9397628833945972,0.3079947554692797,94.8841184017982,313.1977112,0.12878155708312988,0.1515946388244629,9
Full REB-S,-109.6908738556551,93.98244701696714,18.653811807273694,100.0,0,1.9419893301489999,0.3084353859065334,91.57158868711882,294.048803482,0.12881433963775635,0.15403294563293457,10
No state reconstruction,-163.6477787350286,106.61859475309245,3.0974205507455723,100.0,0,1.919290871625,0.3070865394599999,89.85069246602697,289.8465708187497,0.12121701240539551,0.14740729331970215,1
No state reconstruction,-145.25669013386997,101.22276367892883,8.927513917039539,100.0,0,1.939770461,0.30880934160666657,85.39438383086295,281.88702289,0.12402129173278809,0.15181875228881836,2
No state reconstruction,-150.18389938479285,99.87567480998376,9.297399484482671,100.0,0,1.9971946225732213,0.31953259894033464,84.58057087580278,279.7840699500024,0.15825223922729492,0.16680526733398438,3
No state reconstruction,-109.86524704310555,93.52465243886017,-4.120732997463562,100.0,0,1.9631639294000078,0.31277486444666774,90.56732572986485,291.7628041966301,0.1271662712097168,0.14811420440673828,4
No state reconstruction,-132.63450789131375,95.50208800202172,4.065736402023061,100.0,0,1.9892721066666732,0.3182835370666677,90.65975105824884,291.4407348449994,0.131311297416687,0.16558146476745605,5
No state reconstruction,-104.46510390849271,93.80016145473492,3.9445422843071807,100.0,0,1.921008448000008,0.3094556675666682,86.21255229410885,289.41205715,0.11807501316070557,0.14752674102783203,6
No state reconstruction,-170.2227864942847,111.65288325598581,6.141400694152846,100.0,0,1.9473084433125,0.3115693509299998,98.65563041456568,323.806227044993,0.10599470138549805,0.1283280849456787,7
No state reconstruction,-124.20854428760327,96.36970131671005,-5.771163812735633,80.0,2,1.8995372895291742,0.3078068874870019,89.60375953927593,298.2915645187479,0.10860729217529297,0.1324002742767334,8
No state reconstruction,-107.44117950763123,97.03987181842815,7.480267117236994,100.0,0,1.9397628831525093,0.3079947554503346,95.48363565688699,316.1873793999989,0.10790228843688965,0.11900186538696289,9
No state reconstruction,-109.15371261306163,93.98244697578517,18.65381184291861,100.0,0,1.9419268284742592,0.30842705228323464,91.04570620973954,292.0080959549994,0.1316903829574585,0.15199804306030273,10
No robust departure,-163.9351977221081,106.77154971720297,2.958404175635754,90.0,1,1.91935908675,0.3070974538799999,90.11879575493504,290.8357466865,0.12152647972106934,0.14489483833312988,1
No robust departure,-144.67861835617992,101.22276378553391,8.927513821124453,80.0,2,1.9353471547732144,0.30796889623766655,86.00283571332011,284.323328075,0.12385177612304688,0.15396857261657715,2
No robust departure,-149.62472758871976,99.75393169927207,9.407961107794929,90.0,1,1.9974840006142858,0.31956968328800006,83.81265829504186,276.666306328,0.12689745426177979,0.15301895141601562,3
No robust departure,-107.93995948047515,93.52539312664686,-4.121557603097062,80.0,2,1.962197683420037,0.31258164479600486,88.8174746199593,286.220905,0.11519765853881836,0.1396927833557129,4
No robust departure,-132.34299118705553,95.50935026469739,4.058441275430328,80.0,2,1.9890346309214502,0.31824554094743207,90.38604780819952,290.68145450000003,0.14926362037658691,0.19514203071594238,5
No robust departure,-102.34547974390203,93.76742579562793,3.978065027449411,90.0,1,1.9104438538823802,0.30804919448138396,85.94020052483135,288.4468375,0.12050259113311768,0.13982129096984863,6
