method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed
nominal,-172.33574759076117,105.62801376322497,3.997731170050284,100.0,0,2.003501285,0.3205602056000001,90.28201549612228,291.45000001875087,0.13768601417541504,0.19074797630310059,1
nominal,-152.87899300388105,99.57416701527978,10.410794863436454,100.0,0,2.0187188359285715,0.32299501377333345,86.5587295636258,286.9749999999941,0.10385274887084961,0.12789392471313477,2
nominal,-152.19106622563368,98.20868549631717,10.811284282445738,100.0,0,2.0187188356428574,0.3229950137266668,83.24381320609731,274.47500000000355,0.12343573570251465,0.14005684852600098,3
nominal,-112.66408154903226,91.59564242715646,-1.9731715669697398,100.0,0,2.0187188395,0.3229950142333335,90.89058455907245,292.9499999866348,0.11248779296875,0.13415241241455078,4
nominal,-136.71586581939715,93.6679126415491,5.908211956199119,100.0,0,2.0187188369499998,0.3229950139120001,91.30304130792625,294.56374999000315,0.1238945722579956,0.15453672409057617,5
nominal,-110.27892785500916,91.74476358698143,6.049359375375779,100.0,0,2.0187188363,0.32299501377333345,85.9011013191468,288.35,0.11863362789154053,0.13935136795043945,6
nominal,-175.84672953972049,110.08464005752546,7.45971067134297,100.0,0,2.0187188362749997,0.32299501380400003,98.60491108406544,323.5249999999936,0.1100231409072876,0.13966035842895508,7
nominal,-131.98489693351925,96.11659893149672,-5.493369718927948,100.0,0,2.018718837583333,0.32299501402000014,89.88872455784764,299.3500000187491,0.1372615098953247,0.15880513191223145,8
nominal,-112.7128707337003,95.46260007503592,8.98406919001,100.0,0,2.01871883606,0.32299501376066686,94.92160373536538,313.23874999999975,0.13341987133026123,0.15287160873413086,9
nominal,-115.63518941944245,92.51193972448522,19.926604405783237,100.0,0,2.01871883528,0.322995013644,92.13502921614806,295.92499999999944,0.1314908266067505,0.1617579460144043,10
nominal,-114.99822689885653,91.3414912378546,17.40628247364577,100.0,0,2.0187188374,0.32299501396000013,91.01451200769321,299.48874999999856,0.13020694255828857,0.15879082679748535,11
nominal,-111.57176664562422,92.49413264232203,11.669260167945676,100.0,0,2.0187188360999997,0.3229950138133335,89.56479522825026,297.72499999662955,0.13827133178710938,0.14173293113708496,12
nominal,-149.9678130304593,100.68260861494952,-3.792195935697492,100.0,0,2.018718837357143,0.3229950139866668,86.95524035826506,287.64999999162774,0.11492025852203369,0.1367511749267578,13
nominal,-94.95985142526615,85.56830286654228,17.20752124494983,100.0,0,2.0187188381875,0.32299501411000014,88.88877013345054,290.2249999966289,0.11949622631072998,0.14672088623046875,14
nominal,-169.06813498256435,103.67290517398348,-20.3678544614903,100.0,0,2.004375758125,0.3207001213000002,83.86855136568511,275.7499999866336,0.10976874828338623,0.1339890956878662,15
