delta_max,method,mean_degr_cost,accuracy,precision,recall,f1,false_alarm_rate,n
0.0,reactive,0.3227515330247334,1.0,,,,0.0,138
0.0,rebs,0.31951569933289126,1.0,,,,0.0,138
0.02,reactive,0.3228383452479334,0.7101449275362319,1.0,0.047619047619047616,0.0909090909090909,0.0,138
0.02,rebs,0.3175358320523157,0.7028985507246377,1.0,0.023809523809523808,0.046511627906976744,0.0,138
0.04,reactive,0.3210279275483601,0.7971014492753623,1.0,0.3333333333333333,0.5,0.0,138
0.04,rebs,0.31322735932624257,0.7753623188405797,1.0,0.2619047619047619,0.41509433962264153,0.0,138
0.06,reactive,0.31984991992424006,0.855072463768116,1.0,0.5238095238095238,0.6875000000000001,0.0,138
0.06,rebs,0.31094390956874085,0.8840579710144928,1.0,0.6190476190476191,0.7647058823529412,0.0,138
0.08,reactive,0.31993673231980013,0.9130434782608695,1.0,0.7142857142857143,0.8333333333333333,0.0,138
0.08,rebs,0.30985234747619167,0.9202898550724637,1.0,0.7380952380952381,0.8493150684931507,0.0,138
0.1,reactive,0.31875872457926685,0.927536231884058,1.0,0.7619047619047619,0.8648648648648648,0.0,138
0.1,rebs,0.3093522779556451,0.9565217391304348,1.0,0.8571428571428571,0.923076923076923,0.0,138
