coverage,method,accuracy,precision,recall,f1,false_alarm_rate,n
0.1,reactive,0.980246913580247,1.0,0.6521739130434783,0.7894736842105263,0.0,405
0.1,rebs,0.9728395061728395,1.0,0.5217391304347826,0.6857142857142856,0.0,405
0.2,reactive,0.9777777777777777,1.0,0.775,0.8732394366197184,0.0,405
0.2,rebs,0.9604938271604938,1.0,0.6,0.7499999999999999,0.0,405
0.4,reactive,0.8962962962962963,1.0,0.6111111111111112,0.7586206896551725,0.0,405
0.4,rebs,0.8790123456790123,0.9836065573770492,0.5555555555555556,0.7100591715976332,0.003367003367003367,405
0.6,reactive,0.8419753086419753,1.0,0.5555555555555556,0.7142857142857143,0.0,405
0.6,rebs,0.8567901234567902,0.9777777777777777,0.6111111111111112,0.7521367521367521,0.007662835249042145,405
0.8,reactive,0.8049382716049382,1.0,0.6255924170616114,0.7696793002915452,0.0,405
0.8,rebs,0.7580246913580246,0.991304347826087,0.5402843601895735,0.6993865030674846,0.005154639175257732,405
