method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed,tau_cap_steps,tau_cap_hours
tau_cap=0,-163.9200118168444,106.61605267377544,3.0997309736465053,100.0,0,1.919290869125,0.3070865390599999,90.11879575493504,290.8357466865,0.12306082248687744,0.15136194229125977,1,0,0.0
tau_cap=0,-144.66897109999775,101.22276366055995,8.92751393356645,100.0,0,1.9350295177266286,0.3079243655389705,86.00283571332011,284.323328075,0.11235880851745605,0.1388380527496338,2,0,0.0
tau_cap=0,-149.61643814554603,99.75393166035319,9.40796114313931,100.0,0,1.9972054018685712,0.3195346110588,83.81265829504186,276.666306328,0.1132277250289917,0.13879060745239258,3,0,0.0
tau_cap=0,-107.9400004016632,93.52538308464563,-4.121546423365278,100.0,0,1.9621981255200371,0.3125817037226715,88.81748947914365,286.2209534,0.11342620849609375,0.12749791145324707,4,0,0.0
tau_cap=0,-132.34900935916082,95.50935029143379,4.058441248572936,100.0,0,1.9892721097816124,0.31828353756505806,90.38604780819952,290.68145450000003,0.11630117893218994,0.1425480842590332,5,0,0.0
tau_cap=0,-102.34615494802166,93.76742582096594,3.978065001502183,100.0,0,1.91048108847838,0.3080566413739173,85.94020052483135,288.4468375,0.11103224754333496,0.13512182235717773,6,0,0.0
tau_cap=0,-170.06922605748866,111.65469200676613,6.139880206640273,100.0,0,1.94730844225,0.3115693507599998,98.50500757863077,323.19660514000003,0.11159312725067139,0.13077402114868164,7,0,0.0
tau_cap=0,-124.47553610955899,96.46695056845007,-5.8779003325745345,80.0,2,1.9009149391340747,0.3079722052321781,89.73031761951245,298.7705769672,0.11455345153808594,0.13958501815795898,8,0,0.0
tau_cap=0,-106.74638941022039,97.09852938139883,7.424341836670305,100.0,0,1.9397628833945972,0.3079947554692797,94.8841184017982,313.1977112,0.11346673965454102,0.1282494068145752,9,0,0.0
tau_cap=0,-109.6908738556551,93.98244701696714,18.653811807273694,100.0,0,1.9419893301489999,0.3084353859065334,91.57158868711882,294.048803482,0.12047266960144043,0.14516425132751465,10,0,0.0
tau_cap=1,-163.92555155137177,106.77154966839805,2.9584042199931453,100.0,0,1.91907386920625,0.3070518190730001,90.11879575493504,290.8357466865,0.12715065479278564,0.1535477638244629,1,1,0.5
tau_cap=1,-144.67861837923007,101.22276378553391,8.927513821124453,80.0,2,1.9353471545660714,0.3079688962123332,86.00283571332011,284.323328075,0.12974882125854492,0.15526103973388672,2,1,0.5
tau_cap=1,-149.62472777030052,99.75393169927207,9.407961107794929,90.0,1,1.9974839988857145,0.31956968301499994,83.81265829504186,276.666306328,0.16633296012878418,0.22664427757263184,3,1,0.5
tau_cap=1,-107.93995928105683,93.52539313886017,-4.121557616694101,90.0,1,1.962197685720037,0.3125816451493382,88.8174746199593,286.220905,0.11821889877319336,0.1439831256866455,4,1,0.5
tau_cap=1,-132.34299113327714,95.50935029143379,4.058441248572936,90.0,1,1.989034631413117,0.3182455410260988,90.38604780819952,290.68145450000003,0.13644516468048096,0.16235756874084473,5,1,0.5
tau_cap=1,-102.34615501880792,93.76742576074287,3.978065063173237,90.0,1,1.91048108807838,0.30805664138725064,85.94020052483135,288.4468375,0.1304929256439209,0.15409302711486816,6,1,0.5
